id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10859820,Room for Rent in Uskudar Coast,23352313,Aykut,,Uskudar,41.02569,29.01622,Entire home/apt,273,1,0,,,1,365
10867810,YAHYA YILMAZ,56302585,Yılmaz,,Beyoglu,41.03572,28.98797,Entire home/apt,688,1,0,,,1,0
10869523,Right next to Galata Tower,47314275,Arda,,Beyoglu,41.02424,28.9747,Private room,244,1,0,,,1,365
10871701,Entire Apt I Emaar Sq. Mall & Hospitals,24372853,Shann,,Uskudar,41.00899,29.0754,Entire home/apt,170,3,66,2020-05-15,1.47,1,83
10880583,Sunny and cozy room central Kadıköy,3909282,Nil,,Kadikoy,40.97423,29.0774,Private room,204,1,0,,,1,365
10886259,COME to MAMA  DownTown Flat,56409822,Can,,Beyoglu,41.03195,28.97197,Entire home/apt,1569,2,20,2017-06-03,0.39,1,365
10887192,Triple Double Room (Sultans Hotel),27168932,Aziz,,Fatih,41.00413,28.96906,Hotel room,287,1,14,2019-09-21,0.74,4,139
10892229,❤Watch Asia from Europe on Terrace❤❤❤,56444931,Elif,,Fatih,41.00579,28.98117,Private room,448,1,155,2020-03-11,3.01,9,347
10893816,"❤Room for 3, 3mint.away fromAyasofya",56444931,Elif,,Fatih,41.00575,28.98119,Hotel room,557,1,20,2020-01-20,0.46,9,347
10893831,"❤❤Room for Family,3mint walktoAyasofya",56444931,Elif,,Fatih,41.00576,28.98121,Private room,672,1,26,2020-03-12,0.62,9,341
10904917,Private room with single bed,56514495,Hadi,,Pendik,40.9265,29.30762,Shared room,88,1,1,2020-02-06,0.28,1,0
10914054,Big and comfy near Tuyap Conv. Cntr,53669142,Aslihan,,Esenyurt,41.02146,28.64877,Entire home/apt,672,2,3,2020-01-05,0.06,1,363
10925881,anastasia meziki triple garden view rooms,14159890,Ismail,,Adalar,40.87062,29.13363,Private room,951,1,0,,,6,359
10926461,anastasia meziki king suit rooms,14159890,Ismail,,Adalar,40.87214,29.1331,Private room,896,1,0,,,6,174
10926519,garden view room with  private bathroom and toilet,14159890,Ismail,,Adalar,40.87197,29.13312,Private room,747,1,11,2019-10-31,0.30,6,354
10926591,anastasia meziki confort sea view,14159890,Ismail,,Adalar,40.87136,29.13279,Private room,401,1,1,2019-05-01,0.08,6,358
10934514,❤Cozy economic room in the old city,56444931,Elif,,Fatih,41.00572,28.98114,Hotel room,407,1,53,2020-02-27,1.20,9,344
10937343,"",56707239,Guner,,Besiktas,41.04264,28.99799,Private room,341,1,0,,,1,0
10954745,Bagdat Avenue Flat Sea View,56817305,Ceyda,,Kadikoy,40.95534,29.09718,Entire home/apt,441,60,1,2016-02-29,0.02,1,363
10957010,Site icerisinde ulasimi kolay,56825442,Ozgur,,Umraniye,41.00812,29.11081,Private room,136,1,0,,,1,365
10967069,Stylish Studio with Backyard (103),10214794,Neslihan,,Beyoglu,41.02824,28.977,Entire home/apt,259,2,53,2019-11-17,1.05,10,318
10977683,Very Comfortable Studio Flat (104),10214794,Neslihan,,Beyoglu,41.02827,28.97696,Entire home/apt,287,2,85,2020-02-23,1.68,10,338
10978877,ÜSKÜDAR TÜM EV,56250887,Yagmur,,Uskudar,41.0189,29.02573,Entire home/apt,1018,1,0,,,1,365
10979124,"Lux, Nice and Cheap Room",20255269,Mahmut,,Umraniye,41.0055,29.11735,Private room,75,1,0,,,1,365
10980738,Beşiktaş'ta boğaz manzaralı oda,56971003,Kaan,,Besiktas,41.04532,29.01109,Private room,224,1,0,,,1,365
10985735,enjoy nature in Istanbul,56998832,Sanem,,Adalar,40.862,29.11608,Entire home/apt,450,2,15,2016-09-10,0.29,1,0
10999719,Comfy Studio with Balcony 105,10214794,Neslihan,,Beyoglu,41.02827,28.97704,Entire home/apt,273,2,65,2019-10-24,1.29,10,353
11000865,❤ Watch Asia from Europe on Terrace,56444931,Elif,,Fatih,41.00577,28.98117,Private room,448,1,214,2020-02-20,4.14,9,347
11004849,Historic Istanbul apartment in Old City,50664050,Dri,,Beyoglu,41.02638,28.97193,Private room,150,3,19,2019-09-22,0.95,1,15
11004949,Family Suit with 2 bedrooms and a balcony 106,10214794,Neslihan,,Beyoglu,41.02829,28.97699,Entire home/apt,525,2,55,2020-02-24,1.06,10,309
11006045,Wonderful Istanbul View with 2 Terraces 107,10214794,Neslihan,,Beyoglu,41.02829,28.977,Entire home/apt,560,2,126,2020-03-13,2.48,10,344
11007542,Spacious room Kadıköy Yeldeğirmeni,22677216,Onur,,Kadikoy,40.99459,29.03075,Private room,48,7,1,2018-12-03,0.06,1,2
11015935,"",57163319,Metin,,Sisli,41.06842,28.99815,Private room,34,10,0,,,1,0
11027885,"Cozy, Nice, Central Bedroom Kadikoy",9377571,Mohammed,,Kadikoy,40.99553,29.02867,Private room,136,2,0,,,1,0
11035585,lika,57266211,Lika,,Fatih,41.00396,28.96322,Private room,815,2,0,,,1,178
11046309,Urban Nest 2 BR 2BA - Relaunch after renovation,2618254,Dodo,,Beyoglu,41.03041,28.97401,Entire home/apt,512,4,15,2017-09-13,0.29,5,104
11048420,Room For 2-Beşiktaş İstanbul,57341387,Faik Onur,,Besiktas,41.04917,29.00701,Private room,27,1,1,2016-03-06,0.02,1,0
11052218,Long Term Flat Mate,57359915,Ufuk,,Bakirkoy,40.9918,28.87587,Private room,61,90,1,2018-04-08,0.04,1,312
11052386,rahat edebileceğiniz bir ortam,56564764,Otel,,Fatih,41.00339,28.97213,Hotel room,368,1,2,2019-09-19,0.18,16,365
11078083,Havuz manzaralı oda,57509980,Sanan,,Esenyurt,41.01149,28.64879,Private room,143,1,0,,,1,0
11081475,"Charming, large and modern flat...",57390150,Emre,,Kadikoy,41.0061,29.03154,Entire home/apt,597,3,0,,,1,365
11083067,CentreofCity Clean Comfortable Home,53896970,Engin,,Kagithane,41.09623,28.99163,Shared room,143,1,0,,,1,0
11095654,Büyük bir teras,57617323,Gizem,,Kagithane,41.07908,28.96567,Private room,951,1,0,,,1,365
11102055,Centrally Located Luxury Apartment,39540494,Umut,,Bakirkoy,40.97973,28.87548,Entire home/apt,210,1,10,2020-01-01,0.60,1,365
11107644,Room Free Breakfast 102,52781347,Yusuf,,Fatih,41.00496,28.96339,Private room,197,1,26,2018-08-24,0.50,8,365
11107703,GRAND_BAZAAR_HOTEL,57700897,Ali,,Fatih,41.00565,28.96598,Private room,300,1,6,2019-08-01,0.22,6,363
11108135,Greystone floor 2 Apartment  3,8688607,Julie,,Beyoglu,41.03573,28.97732,Entire home/apt,437,3,103,2020-03-08,2.04,5,363
11108459,Greystone Apartment 4,8688607,Julie,,Beyoglu,41.03643,28.97726,Entire home/apt,437,3,74,2020-03-20,1.70,5,331
11108507,rustic and pet friendly house.,27520499,Buse,,Bahcelievler,41.00558,28.8755,Entire home/apt,81,3,0,,,1,358
11108784,Greystone  floor 4  Apartment 5,8688607,Julie,,Beyoglu,41.03715,28.97785,Entire home/apt,334,3,33,2020-02-12,0.74,5,363
11118954,Beautiful Antique Taksim Apartment,4137180,Ahmet,,Beyoglu,41.0364,28.9822,Entire home/apt,239,5,44,2020-03-14,0.85,2,83
11124007,"Quiet Bright Room in Moda, Kadikoy",23182045,Emre & Hande,,Kadikoy,40.98768,29.02702,Private room,150,1,32,2020-02-23,0.65,2,365
